	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
1643	ARGININE	175.1189517	60.05638	15.3	82.0	ARGININE_40eV	40
1644	ARGININE	175.1189517	70.06479	100.0	82.0	ARGININE_20eV	20
1645	ARGININE	175.1189517	60.05495	28.7	82.0	ARGININE_20eV	20
1664	ASPARTIC ACID	134.0447837	74.02329	100.0	83.0	ASPARTIC ACID_10eV	10
1665	ASPARTIC ACID	134.0447837	88.03948	28.2	83.0	ASPARTIC ACID_10eV	10
1666	ASPARTIC ACID	134.0447837	74.02306	100.0	83.0	ASPARTIC ACID_20eV	20
1667	ASPARTIC ACID	134.0447837	46.02764	38.1	83.0	ASPARTIC ACID_20eV	20
1668	ASPARTIC ACID	134.0447837	43.01748	100.0	83.0	ASPARTIC ACID_40eV	40
1669	ASPARTIC ACID	134.0447837	46.02728	86.4	83.0	ASPARTIC ACID_40eV	40
2792	GLUTAMIC ACID	148.0604338	84.04474	100.0	83.0	GLUTAMIC ACID_20eV	20
2793	GLUTAMIC ACID	148.0604338	56.04997	23.5	83.0	GLUTAMIC ACID_20eV	20
2794	GLUTAMIC ACID	148.0604338	56.05008	100.0	83.0	GLUTAMIC ACID_40eV	40
2795	GLUTAMIC ACID	148.0604338	84.04467	22.4	83.0	GLUTAMIC ACID_40eV	40
2796	GLUTAMIC ACID	148.0604338	84.04471	100.0	83.0	GLUTAMIC ACID_10eV	10
2797	GLUTAMIC ACID	148.0604338	102.05582	24.7	83.0	GLUTAMIC ACID_10eV	10
2840	GLYCINE	76.0393044	76.04221	100.0	1.0	GLYCINE_10eV	10
2841	GLYCINE	76.0393044	58.99625	21.6	1.0	GLYCINE_10eV	10
3499	ISOLEUCINE	132.1019047	86.09095	100.0	53.0	ISOLEUCINE_10eV	10
3500	ISOLEUCINE	132.1019047	69.06474	13.7	53.0	ISOLEUCINE_10eV	10
3501	ISOLEUCINE	132.1019047	56.04477	100.0	53.0	ISOLEUCINE_40eV	40
3502	ISOLEUCINE	132.1019047	44.04506	82.4	53.0	ISOLEUCINE_40eV	40
3503	ISOLEUCINE	132.1019047	86.09078	100.0	53.0	ISOLEUCINE_20eV	20
3504	ISOLEUCINE	132.1019047	69.06478	96.7	53.0	ISOLEUCINE_20eV	20
3607	LEUCINE	132.1019047	44.05003	100.0	53.0	LEUCINE_20eV	20
3608	LEUCINE	132.1019047	43.05485	67.1	53.0	LEUCINE_20eV	20
3609	LEUCINE	132.1019047	86.09759	100.0	53.0	LEUCINE_10eV	10
3610	LEUCINE	132.1019047	44.05037	6.4	53.0	LEUCINE_10eV	10
3611	LEUCINE	132.1019047	44.0505	100.0	53.0	LEUCINE_40eV	40
3612	LEUCINE	132.1019047	43.05474	95.0	53.0	LEUCINE_40eV	40
3699	LYSINE	147.1128037	84.08097	100.0	82.0	LYSINE_10eV	10
3700	LYSINE	147.1128037	130.0862	31.7	82.0	LYSINE_10eV	10
3701	LYSINE	147.1128037	84.0809	100.0	82.0	LYSINE_20eV	20
3702	LYSINE	147.1128037	56.04947	8.4	82.0	LYSINE_20eV	20
3703	LYSINE	147.1128037	56.04943	100.0	82.0	LYSINE_40eV	40
3704	LYSINE	147.1128037	84.08069	36.0	82.0	LYSINE_40eV	40
3819	METHIONINE	150.0583256	56.04969	100.0	57.0	METHIONINE_20eV	20
3820	METHIONINE	150.0583256	61.011	85.0	57.0	METHIONINE_20eV	20
3821	METHIONINE	150.0583256	61.01105	100.0	57.0	METHIONINE_40eV	40
3822	METHIONINE	150.0583256	56.0499	60.1	57.0	METHIONINE_40eV	40
3823	METHIONINE	150.0583256	56.0497	100.0	57.0	METHIONINE_10eV	10
3824	METHIONINE	150.0583256	104.05321	78.8	57.0	METHIONINE_10eV	10
4851	PROLINE	116.0706045	70.06509	100.0	60.0	PROLINE_10eV	10
4852	PROLINE	116.0706045	116.07073	16.2	60.0	PROLINE_10eV	10
4853	PROLINE	116.0706045	70.06514	100.0	60.0	PROLINE_20eV	20
4854	PROLINE	116.0706045	70.1094	4.3	60.0	PROLINE_20eV	20
4855	PROLINE	116.0706045	70.06513	100.0	60.0	PROLINE_40eV	40
4856	PROLINE	116.0706045	43.05385	10.4	60.0	PROLINE_40eV	40
5267	SERINE	106.0498691	60.04414	100.0	71.0	SERINE_10eV	10
5268	SERINE	106.0498691	88.03872	7.7	71.0	SERINE_10eV	10
5269	SERINE	106.0498691	42.03317	100.0	71.0	SERINE_40eV	40
5270	SERINE	106.0498691	60.04418	23.8	71.0	SERINE_40eV	40
5271	SERINE	106.0498691	60.04399	100.0	71.0	SERINE_20eV	20
5272	SERINE	106.0498691	42.03337	40.2	71.0	SERINE_20eV	20
5652	THREONINE	120.0655192	74.05986	24.9	71.0	THREONINE_20eV	20
5653	THREONINE	120.0655192	74.05986	100.0	71.0	THREONINE_10eV	10
5654	THREONINE	120.0655192	56.04918	82.6	71.0	THREONINE_10eV	10
5655	THREONINE	120.0655192	56.04927	100.0	71.0	THREONINE_40eV	40
5656	THREONINE	120.0655192	57.03297	13.2	71.0	THREONINE_40eV	40
5854	TYROSINE	182.0811692	136.06638	100.0	60.0	TYROSINE_10eV	10
5855	TYROSINE	182.0811692	165.04468	45.9	60.0	TYROSINE_10eV	10
5856	TYROSINE	182.0811692	119.0398	100.0	60.0	TYROSINE_20eV	20
5857	TYROSINE	182.0811692	136.06624	99.0	60.0	TYROSINE_20eV	20
5858	TYROSINE	182.0811692	91.04575	100.0	60.0	TYROSINE_40eV	40
5859	TYROSINE	182.0811692	77.03004	54.3	60.0	TYROSINE_40eV	40
5926	VALINE	118.0862546	55.05442	100.0	60.0	VALINE_20eV	20
5927	VALINE	118.0862546	72.08099	73.6	60.0	VALINE_20eV	20
5928	VALINE	118.0862546	57.05765	100.0	60.0	VALINE_40eV	40
5929	VALINE	118.0862546	55.05456	96.1	60.0	VALINE_40eV	40
5930	VALINE	118.0862546	72.08071	100.0	60.0	VALINE_10eV	10
5931	VALINE	118.0862546	55.05454	12.9	60.0	VALINE_10eV	10
